name,minLon,midLon,maxLon,minLat,midLat,maxLat
North Delridge,-122.37629543416385,-122.36518497512162,-122.35154880067533,47.55371301597526,47.56275051572636,47.571456196247674
Denny - Blaine,-122.29018165799992,-122.28341938391083,-122.27883467799988,47.611051385000046,47.61843961048131,47.622702223000026
Bitter Lake,-122.355572,-122.3502136740838,-122.3446706519999,47.70512000400003,47.7195350118016,47.734129
Broadview,-122.3823283219999,-122.36605175912004,-122.3554007409999,47.705153627000065,47.71992102899191,47.734145
Blue Ridge,-122.39097518499992,-122.374129219862,-122.35540074099995,47.69981946800004,47.704814936861275,47.709199665000014
Magnolia,-122.43713057399991,-122.40600049138554,-122.38204101499987,47.62904467800006,47.651805710729846,47.672840322000056
Greenwood,-122.36606947699991,-122.35484008968106,-122.34449413099995,47.683253382000025,47.69359224614214,47.705153627000065
Ballard,-122.39839836199994,-122.38620056031998,-122.37600589599995,47.65976767800002,47.66959251650606,47.675989576000056
Seaview,-122.4054107449999,-122.39469733335622,-122.38680706599988,47.54045777000003,47.55182089030739,47.56105834900005
First Hill,-122.33100644461399,-122.32354803444551,-122.31665384418984,47.60228326828379,47.60890627452209,47.61409693782845
Northgate,-122.33000155297032,-122.3226072560785,-122.31221018972172,47.70315653938539,47.708414977799876,47.71226837305946
Rainier Beach,-122.28004018299991,-122.2616136069199,-122.2339908199999,47.502564,47.51273869395869,47.52151282000004
Cedar Park,-122.29746040699989,-122.2866894639411,-122.27659266399988,47.715505225000065,47.723843267958216,47.733751
Downtown,-122.34536484746404,-122.334625225229,-122.32481362768468,47.598534349076544,47.60779250805418,47.616158455514885
Victory Heights,-122.31266127076577,-122.30592432389555,-122.29523590730138,47.7002590335242,47.71083596228568,47.71942436208348
Montlake,-122.3228929659999,-122.30669193665936,-122.29349222399989,47.63378885800005,47.64132661092269,47.64795276200003
North Queen Anne,-122.37735631899992,-122.36564965921814,-122.3495654829999,47.63959363700006,47.64772886564022,47.659888188000075
Lakewood,-122.2745049709999,-122.26755229726614,-122.2580688739999,47.55111636300005,47.55816864000537,47.56893714700003
Georgetown,-122.3429943219999,-122.31765928277785,-122.29159775299988,47.524421,47.5415938961755,47.556541544000076
Bryant,-122.29287661329916,-122.28596976695239,-122.279460406757,47.66112301644123,47.67152229498294,47.682951968678125
Atlantic,-122.30730118916337,-122.30062815277448,-122.29612922006086,47.57633805346837,47.58547547113211,47.590336352489274
Highland Park,-122.35512518899988,-122.34286972038636,-122.32768399999989,47.513865,47.526560051927866,47.54038757200003
University District,-122.32243164999993,-122.3079690839059,-122.28766005399987,47.647027517000076,47.6591634637792,47.67443343100006
Sand Point,-122.26721699899988,-122.25580722141662,-122.24476667799988,47.67319346500005,47.68209817176986,47.69108254500008
Madison Valley,-122.30253862499987,-122.29674105605572,-122.28549999999986,47.618337882000034,47.62480333649906,47.63527365000003
Denny Triangle,-122.34729564869342,-122.33691641762272,-122.32849944056579,47.612667143505604,47.61647387146926,47.61856831929408
Gatewood,-122.39922265699992,-122.38469525239245,-122.37640397199992,47.52828088900008,47.53809458179429,47.54661653600003
Woodland,-122.35442514908652,-122.34739771361609,-122.3399690951526,47.6649844354385,47.668647677048554,47.675947586462385
North Beach,-122.4077248599999,-122.39607729466564,-122.38755197599993,47.69010833100002,47.69567056431523,47.70371338000006
North Beacon Hill,-122.32114521399339,-122.30955902708745,-122.2966020737942,47.561139387966115,47.57760402129293,47.594969443747026
South Lake Union,-122.35040561399991,-122.33479032913323,-122.32329677299995,47.618424089000015,47.62574995627019,47.63973540000005
Pioneer Square,-122.3368144335531,-122.33262640877365,-122.32904097272173,47.59239707697367,47.5972154650591,47.603261016590025
Loyal Heights,-122.39303459603417,-122.38488312120732,-122.37666945410189,47.675932214350986,47.68323396727901,47.690538850765414
